rank,ADM2_Name,ADM2_Name,Nighttime light radiance,HDS,Negative coping tendency,Unemployment rate,Population dependency ratio,Food insecurity level (IPC),norm_Nighttime light radiance,norm_HDS,norm_Negative coping tendency,norm_Unemployment rate,norm_Population dependency ratio,norm_Food insecurity level (IPC),weight_Nighttime light radiance,weight_HDS,weight_Negative coping tendency,weight_Unemployment rate,weight_Population dependency ratio,weight_Food insecurity level (IPC),weighted_Nighttime light radiance,weighted_HDS,weighted_Negative coping tendency,weighted_Unemployment rate,weighted_Population dependency ratio,weighted_Food insecurity level (IPC),composite_score
11,Nabatiye,Nabatiye,2.983280422,0.579963292,7.6,8.5,60.7,0.16,0.029356857172065706,0.558045868636337,0.3625730994152046,0.13084112149532712,0.929411764705883,0.37037037037037035,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.005725027668522477,0.1470945328795243,0.03815099879533733,0.0065395865493129675,0.12731941084203188,0.09229744684714507,0.417127003581874
12,Hasbaiya,Hasbaiya,1.43338747,0.621142125,7.9,10.5,60.7,0.11,0.010586047013177812,0.6405675400215247,0.38011695906432746,0.3177570093457944,0.929411764705883,0.18518518518518517,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.0020644380185352853,0.16884630524637986,0.03999701486607946,0.01588185304833149,0.12731941084203188,0.046148723423572534,0.4002577454449305
13,Rachaiya,Rachaiya,0.914005983,0.488373559,11.9,12.7,60.3,0.11,0.004295798851240304,0.37450162276411714,0.6140350877192982,0.5233644859813084,0.8823529411764706,0.18518518518518517,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.0008377452374281956,0.09871436087812056,0.06461056247597452,0.026158346197251867,0.12087285839433397,0.046148723423572534,0.35734259660668166
14,Sour,Sour,3.905280454,0.619072508,13.6,10.0,52.8,0.16,0.040523233240056605,0.6364200632349145,0.7134502923976607,0.2710280373831776,0.0,0.37037037037037035,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.007902638560985623,0.16775307761968694,0.07507132021017991,0.013546286423576862,0.0,0.09229744684714507,0.3565707696615744
15,Saida,Saida,5.637790086,0.57639231,8.7,14.3,52.8,0.17,0.061505720681367795,0.5508896822741247,0.42690058479532156,0.6728971962616823,0.0,0.40740740740740744,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.01199453846879443,0.14520824368842125,0.04491972438805847,0.033632159396466695,0.0,0.10152719153185959,0.3372818574736004
16,Bcharre,Bcharre,1.264387094,0.647885972,1.7,16.5,55.3,0.12,0.008539277285898818,0.6941617483301898,0.01754385964912281,0.8785046728971962,0.29411764705882354,0.2222222222222222,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.0016652872085188629,0.1829731279311804,0.0018460160707421296,0.04390865254538706,0.040290952798111325,0.05537846810828704,0.32606250466222686
17,Zgharta,Zgharta,3.896600004,0.547060915,9.5,14.1,55.3,0.12,0.04041810399301186,0.4921100723842781,0.4736842105263157,0.6542056074766355,0.29411764705882354,0.2222222222222222,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.00788213678027475,0.12971460822667014,0.04984243391003748,0.03269793274656484,0.040290952798111325,0.05537846810828704,0.3158065325699456
18,Baabda,Baabda,12.39083485,0.428516821,14.5,11.6,53.0,0.17,0.143292092505269,0.2545497517767757,0.7660818713450291,0.42056074766355134,0.023529411764706215,0.40740740740740744,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.027944108235596357,0.06709641435694269,0.0806093684224063,0.021020099622791676,0.0032232762238489513,0.10152719153185959,0.30142045839344556
19,Jezzine,Jezzine,1.840945641,0.42335444,12.8,8.3,52.8,0.12,0.015521998910160548,0.24420442925519922,0.6666666666666666,0.11214953271028046,0.0,0.2222222222222222,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.0030270227058229724,0.06436950520963927,0.07014861068820091,0.005605359899411118,0.0,0.05537846810828704,0.1985289666113613
20,Koura,Koura,4.618598986,0.407272928,6.3,14.5,55.3,0.08,0.04916226003846262,0.21197735646173385,0.28654970760233917,0.6915887850467289,0.29411764705882354,0.07407407407407408,0.1950150056924378,0.2635886065046415,0.10522291603230137,0.049981125769749106,0.1369892395135785,0.2492031064872917,0.009587378421253895,0.05587481600028609,0.030151595822121444,0.03456638604636854,0.040290952798111325,0.018459489369429018,0.1889306184575703
