ADM3_Name,ACS_Code,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night
Hayzouq,35139,16.0,29.0,344.0,48.0,8.7,38.4
Aarqa,35141,16.0,29.0,344.0,48.0,8.7,38.4
Souaisset Aakkar,35143,16.0,29.0,344.0,48.0,8.7,38.4
Ilat,35145,16.0,29.0,344.0,48.0,8.7,38.4
Bqerzla,35147,16.0,29.0,344.0,48.0,8.7,38.4
Deir Dalloum,35149,16.0,29.0,344.0,48.0,8.7,38.4
Zouq El Hosniyeh,35151,16.0,29.0,344.0,48.0,8.7,38.4
Zouq El-Hbalsa,35153,16.0,29.0,344.0,48.0,8.7,38.4
Dahr Laissine,35155,16.0,29.0,344.0,48.0,8.7,38.4
Kfar Harra,35157,16.0,29.0,344.0,48.0,8.7,38.4
Balde WaMazraatBaldeh,35158,16.0,29.0,344.0,48.0,8.7,38.4
Zouq El-Hadara,35159,16.0,29.0,344.0,48.0,8.7,38.4
Zouq El-Moqachrine,35161,16.0,29.0,344.0,48.0,8.7,38.4
Jebrayel,35163,16.0,29.0,344.0,48.0,8.7,38.4
Mar Touma,35167,16.0,29.0,344.0,48.0,8.7,38.4
Hedd,35169,16.0,29.0,344.0,48.0,8.7,38.4
Tikrit,35171,16.0,29.0,344.0,48.0,8.7,38.4
Tallet Chattaha,35173,16.0,29.0,344.0,48.0,8.7,38.4
Beit Mellat,35174,16.0,29.0,344.0,48.0,8.7,38.4
Beino,35175,16.0,29.0,344.0,48.0,8.7,38.4
Aayoun Aakkar,35177,16.0,29.0,344.0,48.0,8.7,38.4
Qboula,35179,16.0,29.0,344.0,48.0,8.7,38.4
Chaqdouf,35181,16.0,29.0,344.0,48.0,8.7,38.4
Borj Aakkar,35183,16.0,29.0,344.0,48.0,8.7,38.4
Aaiyat,35185,16.0,29.0,344.0,48.0,8.7,38.4
Aain Yaaqoub,35187,16.0,29.0,344.0,48.0,8.7,38.4
Bezbina,35189,16.0,29.0,344.0,48.0,8.7,38.4
Aakkar El-Aatiqa,35191,16.0,29.0,344.0,48.0,8.7,38.4
Tall Aabbas El-Gharbi,35211,16.0,29.0,344.0,48.0,8.7,38.4
Tall Aabbas Ech-Charqi,35213,16.0,29.0,344.0,48.0,8.7,38.4
Koueikhat,35215,16.0,29.0,344.0,48.0,8.7,38.4
Khreibet Ej-Jindi,35216,16.0,29.0,344.0,48.0,8.7,38.4
Saadine,35217,16.0,29.0,344.0,48.0,8.7,38.4
Haouchab,35219,16.0,29.0,344.0,48.0,8.7,38.4
Hayssa,35221,16.0,29.0,344.0,48.0,8.7,38.4
Hokr Etti,35223,16.0,29.0,344.0,48.0,8.7,38.4
Chir Hmairine,35224,16.0,29.0,344.0,48.0,8.7,38.4
Darine,35225,16.0,29.0,344.0,48.0,8.7,38.4
Sammouniyeh,35227,16.0,29.0,344.0,48.0,8.7,38.4
Massaaoudiyeh,35229,16.0,29.0,344.0,48.0,8.7,38.4
Tall Meaayan Tall Kiri,35231,16.0,29.0,344.0,48.0,8.7,38.4
Qaabrine,35233,16.0,29.0,344.0,48.0,8.7,38.4
Kfar Melki Aakkar,35234,16.0,29.0,344.0,48.0,8.7,38.4
Tall Bireh,35235,16.0,29.0,344.0,48.0,8.7,38.4
Tall Hmayra,35237,16.0,29.0,344.0,48.0,8.7,38.4
Hokr Jouret Srar,35239,16.0,29.0,344.0,48.0,8.7,38.4
Barcha,35241,16.0,29.0,344.0,48.0,8.7,38.4
Qleiaat Aakkar,35243,16.0,29.0,344.0,48.0,8.7,38.4
Kneisset Aakkar,35245,16.0,29.0,344.0,48.0,8.7,38.4
Tall Sebaal,35247,16.0,29.0,344.0,48.0,8.7,38.4
Aabboudiyeh,35249,16.0,29.0,344.0,48.0,8.7,38.4
Mighraq Aakkar,35251,16.0,29.0,344.0,48.0,8.7,38.4
Hokr Ed-Dahri,35253,16.0,29.0,344.0,48.0,8.7,38.4
Marlaya Melhem,35255,16.0,29.0,344.0,48.0,8.7,38.4
Kharnoubet Aakkar,35257,16.0,29.0,344.0,48.0,8.7,38.4
Semmaqli,35259,16.0,29.0,344.0,48.0,8.7,38.4
Mqaiteaa,35261,16.0,29.0,344.0,48.0,8.7,38.4
Janine,35263,16.0,29.0,344.0,48.0,8.7,38.4
Aamaret Aakkar,35265,16.0,29.0,344.0,48.0,8.7,38.4
Cheikh Zennad,35267,16.0,29.0,344.0,48.0,8.7,38.4
Qoubber Chamra,35269,16.0,29.0,344.0,48.0,8.7,38.4
Sammaqiyeh,35271,16.0,29.0,344.0,48.0,8.7,38.4
AAridet Cheikh Zennad,35273,16.0,29.0,344.0,48.0,8.7,38.4
Bebnine,35275,12.5,38.5,294.0,32.5,48.1,21.65
Mhammaret,35277,12.5,38.5,294.0,32.5,48.1,21.65
Rmoul,35281,16.0,29.0,344.0,48.0,8.7,38.4
Sayssouq,35311,16.0,29.0,344.0,48.0,8.7,38.4
Berqayel,35314,16.0,29.0,344.0,48.0,8.7,38.4
Bzal,35316,12.5,38.5,294.0,32.5,48.1,21.65
Qloud El-Baqieh,35317,16.0,29.0,344.0,48.0,8.7,38.4
Dinbou,35318,16.0,29.0,344.0,48.0,8.7,38.4
Chane,35320,16.0,29.0,344.0,48.0,8.7,38.4
Beit Younes,35321,16.0,29.0,344.0,48.0,8.7,38.4
Houaich,35322,16.0,29.0,344.0,48.0,8.7,38.4
Sfaynet El-Qaitaa,35324,12.5,38.5,294.0,32.5,48.1,21.65
Qabaait,35325,12.5,38.5,294.0,32.5,48.1,21.65
Habchit,35326,16.0,29.0,344.0,48.0,8.7,38.4
Sadaqa,35327,16.0,29.0,344.0,48.0,8.7,38.4
Hrar,35328,12.5,38.5,294.0,32.5,48.1,21.65
Khreibet Aakkar,35330,16.0,29.0,344.0,48.0,8.7,38.4
Hmaireh Aakkar,35331,16.0,29.0,344.0,48.0,8.7,38.4
Qraiyat,35334,16.0,29.0,344.0,48.0,8.7,38.4
Beit Ayoub,35337,16.0,29.0,344.0,48.0,8.7,38.4
Qardaf,35341,16.0,29.0,344.0,48.0,8.7,38.4
Jdeidet El-Qaitaa,35344,12.5,38.5,294.0,32.5,48.1,21.65
Aayoun El-Ghizlane,35347,16.0,29.0,344.0,48.0,8.7,38.4
Michmich Aakkar,35351,9.333333,104.666667,211.0,32.666667,60.133333,35.966667
Qornet Aakkar,35352,16.0,29.0,344.0,48.0,8.7,38.4
Fnaydeq,35353,9.5,133.0,194.5,40.5,46.45,51.5
Majdala,35354,16.0,29.0,344.0,48.0,8.7,38.4
Tshea,35356,16.0,29.0,344.0,48.0,8.7,38.4
Rahbeh,35357,16.0,29.0,344.0,48.0,8.7,38.4
Ouadi El-Jamous,35364,16.0,29.0,344.0,48.0,8.7,38.4
Beit El-Haouch,35367,12.5,38.5,294.0,32.5,48.1,21.65
Menneaa,35371,16.0,29.0,344.0,48.0,8.7,38.4
Cheikhlar,35402,16.0,29.0,344.0,48.0,8.7,38.4
Rmah,35404,16.0,29.0,344.0,48.0,8.7,38.4
Kfar Noun,35406,16.0,29.0,344.0,48.0,8.7,38.4
Bardeh,35408,16.0,29.0,344.0,48.0,8.7,38.4
Khirbet Er Remmane,35410,16.0,29.0,344.0,48.0,8.7,38.4
Sindianet Zeidane,35411,16.0,29.0,344.0,48.0,8.7,38.4
Fraydes Aakkar,35412,16.0,29.0,344.0,48.0,8.7,38.4
Mounjez,35414,16.0,29.0,344.0,48.0,8.7,38.4
Qsair Aakkar,35415,16.0,29.0,344.0,48.0,8.7,38.4
Biret Aakkar,35416,16.0,29.0,344.0,48.0,8.7,38.4
Khirbet Daoud Aakkar,35417,16.0,29.0,344.0,48.0,8.7,38.4
Daghleh,35419,16.0,29.0,344.0,48.0,8.7,38.4
Aaouaainat Aakkar,35420,16.0,29.0,344.0,48.0,8.7,38.4
Aamriyet Aakkar,35421,16.0,29.0,344.0,48.0,8.7,38.4
Kafr,35423,16.0,29.0,344.0,48.0,8.7,38.4
Bsatine Aakkar,35425,16.0,29.0,344.0,48.0,8.7,38.4
Aain Ez-Zeit,35427,16.0,29.0,344.0,48.0,8.7,38.4
Kouachra,35429,16.0,29.0,344.0,48.0,8.7,38.4
Khalsa,35430,16.0,29.0,344.0,48.0,8.7,38.4
Khirbet Char,35431,16.0,29.0,344.0,48.0,8.7,38.4
Dibbabiyeh,35432,16.0,29.0,344.0,48.0,8.7,38.4
Berbara Aakkar,35433,16.0,29.0,344.0,48.0,8.7,38.4
Aain Tinta,35435,16.0,29.0,344.0,48.0,8.7,38.4
Machta Hammoud,35437,16.0,29.0,344.0,48.0,8.7,38.4
Baghdadi,35439,16.0,29.0,344.0,48.0,8.7,38.4
Deir Jannine,35441,16.0,29.0,344.0,48.0,8.7,38.4
Douair Aadouiyeh,35443,16.0,29.0,344.0,48.0,8.7,38.4
Noura Et-Tahta,35445,16.0,29.0,344.0,48.0,8.7,38.4
Sfinet Ed-Draib,35447,16.0,29.0,344.0,48.0,8.7,38.4
Aamaret El-Baykat,35449,16.0,29.0,344.0,48.0,8.7,38.4
Msalla,35451,16.0,29.0,344.0,48.0,8.7,38.4
Qachlaq,35453,16.0,29.0,344.0,48.0,8.7,38.4
Ouadi El-Haour,35455,16.0,29.0,344.0,48.0,8.7,38.4
Charbila,35457,16.0,29.0,344.0,48.0,8.7,38.4
Tleil,35459,16.0,29.0,344.0,48.0,8.7,38.4
Mzeihmeh,35461,16.0,29.0,344.0,48.0,8.7,38.4
Haytla,35463,16.0,29.0,344.0,48.0,8.7,38.4
Knisseh,35465,16.0,29.0,344.0,48.0,8.7,38.4
Rihaniyet Aakkar,35467,16.0,29.0,344.0,48.0,8.7,38.4
Saidnaya,35469,16.0,29.0,344.0,48.0,8.7,38.4
Hmaiss Aakkar,35470,16.0,29.0,344.0,48.0,8.7,38.4
Srar,35471,16.0,29.0,344.0,48.0,8.7,38.4
Ghazayleh,35475,16.0,29.0,344.0,48.0,8.7,38.4
Aarmeh,35484,16.0,29.0,344.0,48.0,8.7,38.4
Mazraat En-Nahriyeh,35486,16.0,29.0,344.0,48.0,8.7,38.4
Qbaiyat Aakkar,35487,16.0,29.0,344.0,48.0,8.7,38.4
Aandqet,35498,16.0,29.0,344.0,48.0,8.7,38.4
Dayret Nahr El-Kabir,35511,16.0,29.0,344.0,48.0,8.7,38.4
Aamayer,35512,16.0,29.0,344.0,48.0,8.7,38.4
Hnaider,35514,16.0,29.0,344.0,48.0,8.7,38.4
Kneisset Hnaider,35515,16.0,29.0,344.0,48.0,8.7,38.4
Mazareaa Jabal Akroum,35516,9.5,133.0,194.5,40.5,46.45,51.5
Qarha Aakkar,35518,16.0,29.0,344.0,48.0,8.7,38.4
Mchaa Ej-Jibbé,36110,5.333333,288.333333,78.0,28.333333,30.466667,22.233333
Bcharreh,36111,6.2,230.4,108.2,27.6,54.6,33.72
Qnayouer,36114,3.0,2.5,30.5,3.5,33.15,17.15
Billa,36117,0.0,0.0,8.0,2.0,7.2,1.2
Aabdine,36121,0.0,7.5,43.5,2.0,53.6,4.6
Tourza,36124,3.0,2.5,30.5,3.5,33.15,17.15
Qnat,36127,1.5,1.5,21.5,2.0,28.2,0.95
Hadath Ej-Jebbeh,36131,1.5,1.5,21.5,2.0,28.2,0.95
Mazraat Bani Saab,36134,1.5,1.5,21.5,2.0,28.2,0.95
Berhalioun,36137,0.0,7.5,43.5,2.0,53.6,4.6
Ouadi Qannoubine,36141,3.0,2.5,30.5,3.5,33.15,17.15
Mazraat Aassaf,36144,1.0,6.0,40.666667,2.0,52.133333,3.3
Bane,36147,3.0,2.5,30.5,3.5,33.15,17.15
Blaouza,36151,3.0,2.5,30.5,3.5,33.15,17.15
Moghr El-Ahoual,36154,2.0,6.666667,46.666667,3.0,55.433333,14.1
Breissat,36157,0.0,0.0,8.0,2.0,7.2,1.2
Dimane,36161,0.0,0.0,8.0,2.0,7.2,1.2
Metrit,36164,1.0,6.0,40.666667,2.0,52.133333,3.3
Hasroun,36171,1.5,1.5,21.5,2.0,28.2,0.95
Hadchit,36177,0.0,0.0,8.0,2.0,7.2,1.2
Bazaaoun,36181,1.5,1.5,21.5,2.0,28.2,0.95
Bqerqacha,36184,0.0,0.0,8.0,2.0,7.2,1.2
Beit Menzer,36187,0.0,0.0,8.0,2.0,7.2,1.2
Bqaa Kafra,36191,0.0,0.0,8.0,2.0,7.2,1.2
Litige,37001,9.0,48.0,244.0,17.0,87.5,4.9
Litige,37002,9.0,48.0,244.0,17.0,87.5,4.9
Litige,37003,9.0,48.0,244.0,17.0,87.5,4.9
Litige,37004,9.0,48.0,244.0,17.0,87.5,4.9
Litige,37005,9.0,48.0,244.0,17.0,87.5,4.9
Litige,37006,9.0,48.0,244.0,17.0,87.5,4.9
Beddaoui,37231,14.333333,56.666667,508.0,22.666667,78.133333,34.5
Deir Aammar,37241,7.5,26.5,148.5,11.0,73.3,19.0
Borj El-Yahoudiyeh,37251,7.5,26.5,148.5,11.0,73.3,19.0
Nabi Youcheaa,37261,7.5,26.5,148.5,11.0,73.3,19.0
Minie,37271,9.0,48.0,244.0,17.0,87.5,4.9
Rihaniyet-Miniyeh,37281,12.5,38.5,294.0,32.5,48.1,21.65
Zouq Bhannine,37291,12.5,38.5,294.0,32.5,48.1,21.65
Sir Ed-Danniyeh,37311,9.0,48.0,244.0,17.0,87.5,4.9
Aassoun,37313,9.0,48.0,244.0,17.0,87.5,4.9
Mazraat Ketrane,37314,9.0,48.0,244.0,17.0,87.5,4.9
Qattineh-Miniyeh,37315,9.0,48.0,244.0,17.0,87.5,4.9
Bqaa Sefrine,37317,4.5,72.5,87.5,14.25,59.5,25.95
Bqarsouna,37319,9.0,48.0,244.0,17.0,87.5,4.9
Hazmiyet-Miniyeh,37321,9.0,48.0,244.0,17.0,87.5,4.9
Tarane,37323,9.0,48.0,244.0,17.0,87.5,4.9
Mimrine,37325,9.0,48.0,244.0,17.0,87.5,4.9
Haql el Aazimeh,37327,9.0,48.0,244.0,17.0,87.5,4.9
Beit El-Faqs,37329,9.0,48.0,244.0,17.0,87.5,4.9
Mrah Es-Sfire,37331,9.0,48.0,244.0,17.0,87.5,4.9
Aain Et-Tineh-Miniyeh,37333,9.0,48.0,244.0,17.0,87.5,4.9
Kharroub-Miniyeh,37335,9.0,48.0,244.0,17.0,87.5,4.9
Sfireh,37337,9.0,48.0,244.0,17.0,87.5,4.9
Qarsaita,37339,9.0,48.0,244.0,17.0,87.5,4.9
Izal,37341,7.5,26.5,148.5,11.0,73.3,19.0
Btermaz,37343,12.5,38.5,294.0,32.5,48.1,21.65
Qemmamine,37344,9.333333,104.666667,211.0,32.666667,60.133333,35.966667
Harf Es-Sayad,37345,9.0,48.0,244.0,17.0,87.5,4.9
Karm El-Mohr,37347,9.0,48.0,244.0,17.0,87.5,4.9
Beit Zoud,37349,9.0,48.0,244.0,17.0,87.5,4.9
Mrah Es-Srayj,37351,9.0,48.0,244.0,17.0,87.5,4.9
Qraine,37353,9.0,48.0,244.0,17.0,87.5,4.9
Haouaret-Miniyeh,37355,9.0,48.0,244.0,17.0,87.5,4.9
Debaael,37356,12.5,38.5,294.0,32.5,48.1,21.65
Beit Haouik,37357,9.0,48.0,244.0,17.0,87.5,4.9
Jayroun,37358,9.0,48.0,244.0,17.0,87.5,4.9
Bechnnata,37359,7.5,26.5,148.5,11.0,73.3,19.0
Qarhaiya,37360,12.5,38.5,294.0,32.5,48.1,21.65
Aazqai,37361,10.333333,27.333333,213.666667,23.333333,51.766667,25.466667
Aasaymout,37362,12.5,38.5,294.0,32.5,48.1,21.65
Kfar Chellane,37363,7.5,26.5,148.5,11.0,73.3,19.0
Kfar Habou,37365,7.5,26.5,148.5,11.0,73.3,19.0
Aaymar,37367,9.0,48.0,244.0,17.0,87.5,4.9
Zaghartaghrine,37369,9.0,48.0,244.0,17.0,87.5,4.9
Behouaita,37371,7.5,26.5,148.5,11.0,73.3,19.0
Kahf El-Malloul,37373,7.5,26.5,148.5,11.0,73.3,19.0
Jarjour,37375,7.5,26.5,148.5,11.0,73.3,19.0
Deir Nbouh,37377,7.5,26.5,148.5,11.0,73.3,19.0
Bechehhara,37379,7.5,26.5,148.5,11.0,73.3,19.0
Merkebta,37381,7.5,26.5,148.5,11.0,73.3,19.0
Raouda-Aadoua,37382,10.333333,27.333333,213.666667,23.333333,51.766667,25.466667
Qarne,37383,12.5,38.5,294.0,32.5,48.1,21.65
Mrebbine,37385,6.0,142.5,144.5,25.0,85.85,34.75
Terbol-Miniyeh,37387,7.5,26.5,148.5,11.0,73.3,19.0
Mazraat El-Kreme,37389,9.0,48.0,244.0,17.0,87.5,4.9
Bakhaaoun,37391,9.0,48.0,244.0,17.0,87.5,4.9
Kfar Bibnine,37395,9.0,48.0,244.0,17.0,87.5,4.9
Litige,51001,15.0,100.0,131.5,24.5,89.35,44.9
Zahleh El-Midane,51111,15.0,76.0,113.0,30.0,85.3,31.2
Zahleh Haouch Ez-Zaraane,51113,15.0,76.0,113.0,30.0,85.3,31.2
Zahlé Mar Gerges,51115,15.0,76.0,113.0,30.0,85.3,31.2
Zahleh Er-Rassiyeh,51117,15.0,76.0,113.0,30.0,85.3,31.2
Zahleh El-Berbara,51119,15.0,76.0,113.0,30.0,85.3,31.2
Zahleh El-Maallaqa,51121,15.0,76.0,113.0,30.0,85.3,31.2
Zahlé Mar Antonios,51123,15.0,76.0,113.0,30.0,85.3,31.2
Zahleh Maallaqa Aradi,51125,15.0,76.0,113.0,30.0,85.3,31.2
Zahlé Haouch El-Oumara Aradi,51127,11.5,134.0,73.0,18.0,85.1,58.75
Zahlé Saydet En-Najat,51129,15.0,76.0,113.0,30.0,85.3,31.2
Zahleh Haouch El-Oumara,51131,15.0,76.0,113.0,30.0,85.3,31.2
Zahleh Aradi,51133,15.0,76.0,113.0,30.0,85.3,31.2
Zahlé Mar Elias,51135,15.0,76.0,113.0,30.0,85.3,31.2
Fourzol,51139,15.0,76.0,113.0,30.0,85.3,31.2
Touaite Zahleh,51145,18.333333,169.0,330.0,35.666667,92.366667,23.333333
Nabi Ayla,51151,14.0,469.0,152.0,55.5,60.15,48.0
Hazerta,51157,14.5,40.0,146.5,24.5,92.3,35.0
Ablah,51163,15.0,76.0,113.0,30.0,85.3,31.2
Qaa Er-Rim,51173,14.0,314.0,161.333333,43.333333,73.2,44.933333
Niha Zahleh,51177,14.0,469.0,152.0,55.5,60.15,48.0
Ksara,51184,15.0,76.0,113.0,30.0,85.3,31.2
Mazraat Er-Remtaniyeh,51185,20.5,251.5,405.0,44.0,88.9,15.6
Ouadi El-Aarayech,51189,15.0,76.0,113.0,30.0,85.3,31.2
Chtaura,51211,15.0,76.0,113.0,30.0,85.3,31.2
Zebdoul,51214,15.0,76.0,113.0,30.0,85.3,31.2
Makseh,51217,15.0,76.0,113.0,30.0,85.3,31.2
Taalbaya,51221,15.0,76.0,113.0,30.0,85.3,31.2
Jdita,51224,15.0,76.0,113.0,30.0,85.3,31.2
Taanayel,51227,11.5,134.0,73.0,18.0,85.1,58.75
Saadnayel,51231,15.0,76.0,113.0,30.0,85.3,31.2
Qabb Elias,51234,15.0,76.0,113.0,30.0,85.3,31.2
Haouch Mandara,51237,11.5,134.0,73.0,18.0,85.1,58.75
Mrayjat Zahleh,51241,20.5,251.5,405.0,44.0,88.9,15.6
Bouarej,51244,20.5,251.5,405.0,44.0,88.9,15.6
Chebrqiyet Tabet,51247,11.5,134.0,73.0,18.0,85.1,58.75
Haouch Es-Siyadeh,51251,15.0,76.0,113.0,30.0,85.3,31.2
Ouadi Ed-Delm,51257,18.666667,209.0,320.0,35.666667,90.4,29.933333
Tcheflik Qiqano,51261,15.0,76.0,113.0,30.0,85.3,31.2
Haouch Qayssar,51264,15.0,76.0,113.0,30.0,85.3,31.2
Barr Elias,51267,11.5,134.0,73.0,18.0,85.1,58.75
Mzaraat Zahleh,51271,15.0,100.0,131.5,24.5,89.35,44.9
Tcheflik Eddé Haouch,51274,12.666667,130.666667,98.666667,18.333333,87.866667,58.7
Tell El-Akhdar,51277,11.5,134.0,73.0,18.0,85.1,58.75
Aanjar (Haouch Moussa),51281,11.5,134.0,73.0,18.0,85.1,58.75
Majdel Aanjar,51284,7.666667,126.333333,51.666667,13.333333,76.566667,61.733333
Nasriyet Zahleh,51287,11.5,134.0,73.0,18.0,85.1,58.75
Riyaq,51311,15.0,76.0,113.0,30.0,85.3,31.2
Haouch Hala,51317,14.0,469.0,152.0,55.5,60.15,48.0
Aali En-Nahri,51323,14.0,469.0,152.0,55.5,60.15,48.0
Haouch El-Ghanam,51329,14.0,469.0,152.0,55.5,60.15,48.0
Haouch El-Aamara,51335,14.0,469.0,152.0,55.5,60.15,48.0
Hoshmosh,51341,15.0,76.0,113.0,30.0,85.3,31.2
Deir El-Ghazal,51347,15.0,76.0,113.0,30.0,85.3,31.2
Qoussaya,51353,14.0,469.0,152.0,55.5,60.15,48.0
Nasriyet Rizk,51354,14.0,469.0,152.0,55.5,60.15,48.0
Raait,51359,15.0,76.0,113.0,30.0,85.3,31.2
Terbol Zahleh,51365,15.0,76.0,113.0,30.0,85.3,31.2
Massa,51371,14.0,469.0,152.0,55.5,60.15,48.0
Aain Kfar Zabad,51377,15.0,76.0,113.0,30.0,85.3,31.2
Dalhamiyet Zahleh,51383,15.0,76.0,113.0,30.0,85.3,31.2
Kfarzabad,51389,15.0,76.0,113.0,30.0,85.3,31.2
Litige,52001,8.333333,128.333333,83.333333,12.0,92.1,74.233333
Litige,52002,5.0,130.5,50.0,8.5,91.45,82.05
Litige,52003,5.0,130.5,50.0,8.5,91.45,82.05
Machghara,52111,3.333333,124.0,36.333333,7.0,80.8,77.266667
Aain Et-Tineh BG,52116,4.0,330.666667,37.333333,6.666667,90.3,55.966667
Aaytanit,52121,5.0,130.5,50.0,8.5,91.45,82.05
Bab Mareaa,52126,5.0,130.5,50.0,8.5,91.45,82.05
Deir Aain Ej-Jaouzeh,52131,8.0,192.0,33.0,6.0,84.9,86.3
Saghbine,52136,5.0,130.5,50.0,8.5,91.45,82.05
Loussa,52141,3.666667,621.333333,18.666667,5.0,90.533333,53.233333
Aain Zebdeh,52146,8.0,192.0,33.0,6.0,84.9,86.3
Khirbet Qanafar,52151,5.0,130.5,50.0,8.5,91.45,82.05
Kafraiya BG,52156,5.0,130.5,50.0,8.5,91.45,82.05
Aana,52161,5.0,130.5,50.0,8.5,91.45,82.05
Deir Tahniche,52166,5.0,130.5,50.0,8.5,91.45,82.05
Mansoura BG,52171,8.0,192.0,33.0,6.0,84.9,86.3
Aammiq BG,52176,10.0,115.25,90.75,16.5,90.4,63.475
Chebrqiyet Aammiq,52181,11.5,134.0,73.0,18.0,85.1,58.75
Joubb Jannine,52211,4.0,151.5,21.0,5.0,72.2,77.0
Lala,52214,4.0,151.5,21.0,5.0,72.2,77.0
Kamed El-Laouz,52217,4.0,151.5,21.0,5.0,72.2,77.0
Tall Znoub,52221,8.0,192.0,33.0,6.0,84.9,86.3
Baaloul BG,52224,4.0,151.5,21.0,5.0,72.2,77.0
Ghazzeh,52227,8.0,192.0,33.0,6.0,84.9,86.3
Soultan Yaacoub Faouqa,52231,4.0,151.5,21.0,5.0,72.2,77.0
Khiara,52234,8.0,192.0,33.0,6.0,84.9,86.3
Qaraaoun,52237,4.0,151.5,21.0,5.0,72.2,77.0
Soltan Yacoub el Aradi,52241,8.0,192.0,33.0,6.0,84.9,86.3
Manara (Hammara) BG,52244,4.0,151.5,21.0,5.0,72.2,77.0
Khiara El-Aatiqa,52247,11.5,134.0,73.0,18.0,85.1,58.75
Dakoueh,52251,11.5,134.0,73.0,18.0,85.1,58.75
Haouch El-Harime,52254,11.5,134.0,73.0,18.0,85.1,58.75
Jazira BG,52257,11.5,134.0,73.0,18.0,85.1,58.75
Ouaqf BG,52261,11.5,134.0,73.0,18.0,85.1,58.75
Souairi,52264,7.666667,126.333333,51.666667,13.333333,76.566667,61.733333
Sohmor,52267,4.0,151.5,21.0,5.0,72.2,77.0
Harimeh Es-Soughra,52271,11.5,134.0,73.0,18.0,85.1,58.75
Libbaya BG,52274,3.0,414.666667,17.666667,5.333333,81.033333,74.533333
Marj BG,52277,11.5,134.0,73.0,18.0,85.1,58.75
Yohmor BG,52281,4.5,566.5,22.0,6.0,91.8,77.95
Zilaya,52284,4.5,566.5,22.0,6.0,91.8,77.95
Maydoun,52287,5.0,461.5,22.5,4.5,86.45,45.05
Qelaya,52291,4.5,566.5,22.0,6.0,91.8,77.95
Raouda (Istabel),52295,11.5,134.0,73.0,18.0,85.1,58.75
Litige,53001,13.0,862.0,191.0,81.0,35.0,64.8
Litige,53002,13.0,862.0,191.0,81.0,35.0,64.8
Litige,53003,13.0,862.0,191.0,81.0,35.0,64.8
Baalbek,53111,13.0,862.0,191.0,81.0,35.0,64.8
Aain Bourday,53115,13.0,862.0,191.0,81.0,35.0,64.8
Douris,53119,13.0,862.0,191.0,81.0,35.0,64.8
Iaat,53123,13.0,862.0,191.0,81.0,35.0,64.8
Aadous,53127,13.0,862.0,191.0,81.0,35.0,64.8
Aamchki,53131,13.0,862.0,191.0,81.0,35.0,64.8
Haouch Tall Safiyeh,53135,13.0,862.0,191.0,81.0,35.0,64.8
Taibet Baalbek,53139,13.0,862.0,191.0,81.0,35.0,64.8
Nahleh baalbek,53143,13.0,862.0,191.0,81.0,35.0,64.8
Majdaloun,53147,13.0,862.0,191.0,81.0,35.0,64.8
Haouche Barada,53151,13.0,862.0,191.0,81.0,35.0,64.8
Maqneh,53155,13.0,862.0,191.0,81.0,35.0,64.8
Haouch El-Dehab,53159,13.0,862.0,191.0,81.0,35.0,64.8
Aain Es-Siyaa Chadoura,53163,13.0,862.0,191.0,81.0,35.0,64.8
Saaideh,53167,13.0,862.0,191.0,81.0,35.0,64.8
Jebaa,53171,13.0,862.0,191.0,81.0,35.0,64.8
Kfar Dane,53179,13.0,862.0,191.0,81.0,35.0,64.8
Hadath Baalbek,53183,13.0,862.0,191.0,81.0,35.0,64.8
Ras Baalbek Es-Sahel,53211,8.0,549.5,118.0,57.0,59.6,64.7
Fekehe,53214,8.0,549.5,118.0,57.0,59.6,64.7
Aain Baalbek,53217,13.0,862.0,191.0,81.0,35.0,64.8
Bajjaje,53221,13.0,862.0,191.0,81.0,35.0,64.8
Nabi Osmane,53224,13.0,862.0,191.0,81.0,35.0,64.8
Ras Baalbek Ech-Charqi,53227,13.0,862.0,191.0,81.0,35.0,64.8
Aarsal,53231,13.0,862.0,191.0,81.0,35.0,64.8
Laboueh,53234,13.0,862.0,191.0,81.0,35.0,64.8
Zabboud,53237,13.0,862.0,191.0,81.0,35.0,64.8
Qaa Baalbek,53241,13.0,862.0,191.0,81.0,35.0,64.8
Deir Mar Maroun Baalbek,53244,8.0,549.5,118.0,57.0,59.6,64.7
Halbata,53247,8.0,549.5,118.0,57.0,59.6,64.7
Moqraq,53251,13.0,862.0,191.0,81.0,35.0,64.8
Qaa Ouadi El-Khanzir,53254,8.0,549.5,118.0,57.0,59.6,64.7
Qaa Baayoun,53257,13.0,862.0,191.0,81.0,35.0,64.8
Sbouba,53261,13.0,862.0,191.0,81.0,35.0,64.8
Harabta,53264,13.0,862.0,191.0,81.0,35.0,64.8
Qaa Jouar Maqiyé,53267,13.0,862.0,191.0,81.0,35.0,64.8
Nabha Ed-Damdoum,53271,5.333333,366.333333,81.333333,38.666667,42.133333,43.533333
Chaat,53274,13.0,862.0,191.0,81.0,35.0,64.8
Qarha Baalbek,53277,13.0,862.0,191.0,81.0,35.0,64.8
Ram Baalbek,53281,13.0,862.0,191.0,81.0,35.0,64.8
Youmine,53284,13.0,862.0,191.0,81.0,35.0,64.8
