ADM3_Name,ACS_Code,Inter-sectarian and inter-communal conflict incidents,Number of violent incidents,Number of crime incidents,Number of fatalities in tension incidents,Fear of traveling within Lebanon safely,Feeling lack of safety during the night
Aain El-Qabu,22777,14.0,4.0,180.0,19.0,99.3,38.8
Kfar Aaqab,22781,14.0,4.0,180.0,19.0,99.3,38.8
Mar Moussa Ed-Douar,22784,14.0,4.0,180.0,19.0,99.3,38.8
Machraah El-Matn,22787,14.0,4.0,180.0,19.0,99.3,38.8
Ouadi El-Karm El-Matn,22791,12.0,6.0,175.5,18.0,99.65,34.45
Zabbougha,22794,12.0,6.0,175.5,18.0,99.65,34.45
Baskinta,22797,12.0,6.0,175.5,18.0,99.65,34.45
Kfar Tay El-Matn,22799,12.0,6.0,175.5,18.0,99.65,34.45
Litige,23001,8.5,96.5,108.5,15.0,95.7,68.2
Litige,23002,8.5,96.5,108.5,15.0,95.7,68.2
Litige,23003,8.5,96.5,108.5,15.0,95.7,68.2
Litige,23004,5.0,130.5,50.0,8.5,91.45,82.05
Litige,23005,2.0,69.0,67.0,11.0,98.0,77.8
Litige,23006,2.0,69.0,67.0,11.0,98.0,77.8
Litige,23007,2.0,400.0,39.5,7.0,93.0,40.8
Damour,23111,8.5,96.5,108.5,15.0,95.7,68.2
Naameh,23141,8.5,96.5,108.5,15.0,95.7,68.2
Mechref,23171,8.5,96.5,108.5,15.0,95.7,68.2
Chhim,23211,2.0,69.0,67.0,11.0,98.0,77.8
Mazboud,23215,2.0,69.0,67.0,11.0,98.0,77.8
Dalhoun,23219,2.0,69.0,67.0,11.0,98.0,77.8
Chammis Ech-Chouf,23223,2.0,69.0,67.0,11.0,98.0,77.8
Daraiya Ech-Chouf,23227,2.0,69.0,67.0,11.0,98.0,77.8
Ketermaya,23231,2.0,69.0,67.0,11.0,98.0,77.8
Maaniyeh,23235,2.0,69.0,67.0,11.0,98.0,77.8
Ouadi Abou Youssef,23237,2.0,69.0,67.0,11.0,98.0,77.8
Aanout,23239,2.0,69.0,67.0,11.0,98.0,77.8
Sibline,23243,2.0,69.0,67.0,11.0,98.0,77.8
Bourjein,23247,2.0,69.0,67.0,11.0,98.0,77.8
Barja,23251,2.0,69.0,67.0,11.0,98.0,77.8
Bkechtine Ouel Mcheiaa,23253,2.0,69.0,67.0,11.0,98.0,77.8
Baassir,23255,2.0,69.0,67.0,11.0,98.0,77.8
Dibbiyeh,23259,2.0,69.0,67.0,11.0,98.0,77.8
Benouati Ech-Chouf,23263,2.0,69.0,67.0,11.0,98.0,77.8
Jiyeh,23267,2.0,69.0,67.0,11.0,98.0,77.8
Jadra,23271,2.0,69.0,67.0,11.0,98.0,77.8
Chmaarine,23275,2.0,69.0,67.0,11.0,98.0,77.8
Dahr Ech-Chouf,23279,2.0,69.0,67.0,11.0,98.0,77.8
Aalmane Ech-Chouf,23311,8.0,762.0,142.0,33.5,96.85,70.05
Jmailiyeh,23316,2.0,69.0,67.0,11.0,98.0,77.8
Rmeilet Ech-Chouf,23321,8.0,762.0,142.0,33.5,96.85,70.05
Majdalouna,23326,2.0,69.0,67.0,11.0,98.0,77.8
Ouardaniyeh,23331,2.0,69.0,67.0,11.0,98.0,77.8
Joun,23336,6.0,751.666667,98.666667,23.333333,93.9,47.966667
Mghairiyeh Ech-Chouf,23341,2.0,69.0,67.0,11.0,98.0,77.8
Deir El-Moukhalles Ech-Chouf,23346,2.0,400.0,39.5,7.0,93.0,40.8
Qreiaa,23351,2.0,69.0,67.0,11.0,98.0,77.8
Bkifa Ech-Chouf,23356,2.0,69.0,67.0,11.0,98.0,77.8
Mazmoura,23361,2.0,69.0,67.0,11.0,98.0,77.8
Mtolleh,23365,2.0,69.0,67.0,11.0,98.0,77.8
Mazraat Es-Dahr,23366,2.0,400.0,39.5,7.0,93.0,40.8
Khirbet Bisri,23371,2.0,400.0,39.5,7.0,93.0,40.8
Jleiliyeh,23376,2.0,69.0,67.0,11.0,98.0,77.8
Zaarouriyeh,23381,2.0,69.0,67.0,11.0,98.0,77.8
Bsaba Ech-Chouf,23386,2.0,69.0,67.0,11.0,98.0,77.8
Beit Ed-Dine,23411,2.0,69.0,67.0,11.0,98.0,77.8
Deir El-Qamar,23413,2.0,69.0,67.0,11.0,98.0,77.8
Kfar Hamal,23415,2.0,69.0,67.0,11.0,98.0,77.8
Semqaniyeh,23417,2.0,69.0,67.0,11.0,98.0,77.8
Kfar Qatra,23419,2.0,69.0,67.0,11.0,98.0,77.8
Maasser Beit Ed-Dine,23421,2.0,69.0,67.0,11.0,98.0,77.8
Bchtfine,23423,8.5,96.5,108.5,15.0,95.7,68.2
Kneisset Ech-Chouf,23425,8.5,96.5,108.5,15.0,95.7,68.2
Aammiq Ech-Chouf,23427,8.5,96.5,108.5,15.0,95.7,68.2
Deir Koucheh,23429,8.5,96.5,108.5,15.0,95.7,68.2
Mazraat Ed-Douair,23431,2.0,69.0,67.0,11.0,98.0,77.8
Kfar Faqoud,23433,8.5,96.5,108.5,15.0,95.7,68.2
Deir Baba,23435,8.5,96.5,108.5,15.0,95.7,68.2
Sirjbal,23437,2.0,69.0,67.0,11.0,98.0,77.8
GHabet Jaafar,23438,2.0,69.0,67.0,11.0,98.0,77.8
Kfar Him,23439,2.0,69.0,67.0,11.0,98.0,77.8
Ouadi Ed-Deir,23441,2.0,69.0,67.0,11.0,98.0,77.8
Ouadi Es-Sitt,23443,2.0,69.0,67.0,11.0,98.0,77.8
Majdel El-Meouch,23445,8.5,96.5,108.5,15.0,95.7,68.2
Dmit,23447,8.5,96.5,108.5,15.0,95.7,68.2
Faouarat Jaafar,23449,2.0,69.0,67.0,11.0,98.0,77.8
Biret Ech-Chouf,23451,8.5,96.5,108.5,15.0,95.7,68.2
Chourit,23453,8.5,96.5,108.5,15.0,95.7,68.2
Kfar hay,23454,8.5,96.5,108.5,15.0,95.7,68.2
Kfar Niss,23455,8.5,96.5,108.5,15.0,95.7,68.2
Bqaiaa Ech-Chouf,23457,2.0,69.0,67.0,11.0,98.0,77.8
Brih,23459,2.0,69.0,67.0,11.0,98.0,77.8
Moughayret Ech-Chouf,23461,2.0,69.0,67.0,11.0,98.0,77.8
Ouarhaniyeh,23463,2.0,69.0,67.0,11.0,98.0,77.8
Fraudis Ech-Chouf,23467,5.0,130.5,50.0,8.5,91.45,82.05
Aain Zhalta,23469,8.333333,128.333333,83.333333,12.0,92.1,74.233333
Baaqline,23511,2.0,69.0,67.0,11.0,98.0,77.8
Deir Dourit,23522,2.0,69.0,67.0,11.0,98.0,77.8
Aainbal,23533,2.0,69.0,67.0,11.0,98.0,77.8
Aathrine,23544,2.0,69.0,67.0,11.0,98.0,77.8
Ouadi bnehlay,23555,2.0,69.0,67.0,11.0,98.0,77.8
Gharifeh,23566,2.0,69.0,67.0,11.0,98.0,77.8
Jahliyeh,23577,2.0,69.0,67.0,11.0,98.0,77.8
Hasrout,23588,2.0,69.0,67.0,11.0,98.0,77.8
Moukhtara,23611,2.0,69.0,67.0,11.0,98.0,77.8
Botmeh,23615,2.0,69.0,67.0,11.0,98.0,77.8
Aain Qania,23619,2.0,69.0,67.0,11.0,98.0,77.8
Jdeidet Ech-Chouf,23623,2.0,69.0,67.0,11.0,98.0,77.8
Niha El-Chouf,23625,4.0,330.666667,37.333333,6.666667,90.3,55.966667
Aain Ouzain,23627,2.0,69.0,67.0,11.0,98.0,77.8
Baadarane,23631,2.0,69.0,67.0,11.0,98.0,77.8
Khereibet Ech-Chouf,23635,5.0,130.5,50.0,8.5,91.45,82.05
Aammatour,23639,2.0,400.0,39.5,7.0,93.0,40.8
Kahlouniet Ech-Chouf,23643,2.0,69.0,67.0,11.0,98.0,77.8
Haret Jandal,23647,2.0,69.0,67.0,11.0,98.0,77.8
Mazraat Ech-Chouf,23651,2.0,400.0,39.5,7.0,93.0,40.8
Kfar Nabrakh,23655,2.0,69.0,67.0,11.0,98.0,77.8
Mristi,23659,5.0,130.5,50.0,8.5,91.45,82.05
Batloun,23663,2.0,69.0,67.0,11.0,98.0,77.8
Maasser Ech-Chouf,23667,5.0,130.5,50.0,8.5,91.45,82.05
Jbaa Ech-Chouf,23671,5.0,130.5,50.0,8.5,91.45,82.05
Bater,23675,2.0,400.0,39.5,7.0,93.0,40.8
Barouk,23679,5.0,130.5,50.0,8.5,91.45,82.05
Bayqoun,23687,2.0,69.0,67.0,11.0,98.0,77.8
Litige,24001,15.0,124.0,150.0,19.0,93.4,58.6
Litige,24002,15.0,124.0,150.0,19.0,93.4,58.6
Litige,24003,15.0,124.0,150.0,19.0,93.4,58.6
Litige,24004,15.0,124.0,150.0,19.0,93.4,58.6
Litige,24005,8.5,96.5,108.5,15.0,95.7,68.2
Litige,24006,8.5,96.5,108.5,15.0,95.7,68.2
Litige,24007,15.0,124.0,150.0,19.0,93.4,58.6
Litige,24008,15.0,124.0,150.0,19.0,93.4,58.6
Litige,24009,8.5,96.5,108.5,15.0,95.7,68.2
Choueifat El-Aamrousiyeh,24111,20.5,275.5,423.5,38.5,92.95,29.3
Choueifat El-Quoubbeh,24133,8.5,96.5,108.5,15.0,95.7,68.2
Choueifat El-Oumara,24155,20.5,275.5,423.5,38.5,92.95,29.3
Deir Qoubel,24177,15.0,124.0,150.0,19.0,93.4,58.6
Aaramoun Aaley,24211,8.5,96.5,108.5,15.0,95.7,68.2
Aain Drafil,24219,8.5,96.5,108.5,15.0,95.7,68.2
Sirhmoul,24227,15.0,124.0,150.0,19.0,93.4,58.6
Baaouerta,24235,8.5,96.5,108.5,15.0,95.7,68.2
Bchamoun,24243,15.0,124.0,150.0,19.0,93.4,58.6
Daqqoun,24251,15.0,124.0,150.0,19.0,93.4,58.6
Aain Aanoub,24259,20.5,275.5,423.5,38.5,92.95,29.3
Blaybel,24267,20.5,275.5,423.5,38.5,92.95,29.3
Houmal,24275,20.5,275.5,423.5,38.5,92.95,29.3
Bdadoun,24283,20.5,275.5,423.5,38.5,92.95,29.3
Bsous,24291,20.5,275.5,423.5,38.5,92.95,29.3
Aaley,24311,20.5,275.5,423.5,38.5,92.95,29.3
Kahhaleh,24313,20.5,275.5,423.5,38.5,92.95,29.3
Qmatiyeh,24315,15.0,124.0,150.0,19.0,93.4,58.6
Aain Er-Roummaneh Aaley,24317,15.0,124.0,150.0,19.0,93.4,58.6
Bmakine,24319,15.0,124.0,150.0,19.0,93.4,58.6
Bkhichtay,24321,15.0,124.0,150.0,19.0,93.4,58.6
Ghaboune,24323,15.0,124.0,150.0,19.0,93.4,58.6
Aain Ej-Jdideh Aaley,24325,20.5,275.5,423.5,38.5,92.95,29.3
Behouara,24327,15.0,124.0,150.0,19.0,93.4,58.6
Aaytat,24329,20.5,275.5,423.5,38.5,92.95,29.3
Souq El-Gharb,24331,15.0,124.0,150.0,19.0,93.4,58.6
Taazaniyeh,24333,15.0,124.0,150.0,19.0,93.4,58.6
Rijmeh,24335,15.0,124.0,150.0,19.0,93.4,58.6
Keyfoun,24337,15.0,124.0,150.0,19.0,93.4,58.6
Chimlane,24339,15.0,124.0,150.0,19.0,93.4,58.6
Kfar Aamay,24341,15.0,124.0,150.0,19.0,93.4,58.6
Bayssour Aaley,24343,15.0,124.0,150.0,19.0,93.4,58.6
Douair Er-Remmaneh,24345,15.0,124.0,150.0,19.0,93.4,58.6
Rouayssat En-Naamane,24347,15.0,124.0,150.0,19.0,93.4,58.6
Mejdlaiya,24349,15.0,124.0,150.0,19.0,93.4,58.6
Aaynab,24351,15.0,124.0,150.0,19.0,93.4,58.6
Chartoun,24353,15.0,124.0,150.0,19.0,93.4,58.6
Bou Zrideh,24355,15.0,124.0,150.0,19.0,93.4,58.6
Dfoun,24357,15.0,124.0,150.0,19.0,93.4,58.6
Richmaiya,24359,8.5,96.5,108.5,15.0,95.7,68.2
Aain Traz,24361,8.5,96.5,108.5,15.0,95.7,68.2
Selfaya,24363,8.5,96.5,108.5,15.0,95.7,68.2
Aaley Bsatine,24365,15.0,124.0,150.0,19.0,93.4,58.6
Rimhala,24367,15.0,124.0,150.0,19.0,93.4,58.6
Binnay,24369,15.0,124.0,150.0,19.0,93.4,58.6
Aain Ksour,24371,15.0,124.0,150.0,19.0,93.4,58.6
Jisr El Qadi,24373,8.5,96.5,108.5,15.0,95.7,68.2
Aabey,24375,15.0,124.0,150.0,19.0,93.4,58.6
Kfar Matta,24377,8.5,96.5,108.5,15.0,95.7,68.2
Bhamdoun El-Mhatta,24411,20.5,275.5,423.5,38.5,92.95,29.3
Bhamdoun Ed-Dayaa,24414,20.5,275.5,423.5,38.5,92.95,29.3
Chanay,24417,15.0,124.0,150.0,19.0,93.4,58.6
Btalloun,24421,15.0,124.0,150.0,19.0,93.4,58.6
Majdel Baana,24424,15.0,124.0,150.0,19.0,93.4,58.6
Saoufar,24427,20.5,275.5,423.5,38.5,92.95,29.3
Aain El Halazoun,24431,15.0,124.0,150.0,19.0,93.4,58.6
Bedghan Oua Ouadi Bedghan,24434,15.0,124.0,150.0,19.0,93.4,58.6
Homs Oua Hama,24437,15.0,124.0,150.0,19.0,93.4,58.6
Mansouriyet Bhamdoun,24441,15.0,124.0,150.0,19.0,93.4,58.6
Mchekhti,24443,8.5,96.5,108.5,15.0,95.7,68.2
Charoun,24444,20.5,275.5,423.5,38.5,92.95,29.3
Btater,24447,15.0,124.0,150.0,19.0,93.4,58.6
Ighmid,24451,8.5,96.5,108.5,15.0,95.7,68.2
Aazouniyeh,24454,20.5,275.5,423.5,38.5,92.95,29.3
Mcherfeh,24457,15.0,124.0,150.0,19.0,93.4,58.6
Habramoun,24461,15.0,124.0,150.0,19.0,93.4,58.6
Bserrine,24464,15.0,124.0,150.0,19.0,93.4,58.6
Ramlieh,24467,8.5,96.5,108.5,15.0,95.7,68.2
Maasrati,24471,8.5,96.5,108.5,15.0,95.7,68.2
Mazraat En-Nahr Aaley,24474,8.5,96.5,108.5,15.0,95.7,68.2
Aain Dara,24477,18.666667,209.0,320.0,35.666667,90.4,29.933333
Mrayjat Aaley,24481,8.5,96.5,108.5,15.0,95.7,68.2
Bmahray,24484,10.0,115.25,90.75,16.5,90.4,63.475
Litige,25001,7.0,10.5,110.0,15.0,59.7,15.8
Litige,25002,11.5,435.0,181.0,49.0,67.5,47.45
Litige,25003,10.0,8.0,171.0,17.0,100.0,30.1
Jounieh Sarba,25111,10.0,8.0,171.0,17.0,100.0,30.1
