ADM3_NAME,CODE_NEW,composite_score,coping1_pred,coping2_pred,coping3_pred,coping4_pred,coping5_pred,coping6_pred,coping7_pred,coping8_pred,coping9_pred,coping10_pred,coping11_pred,coping12_pred,coping97_pred,coping98_pred,coping99_pred,coping14_pred,CODE_min,CODE_max,ADM1_NAME_max,MOHAFAZA_1_max,ADM2_NAME_max
Ras El Matn,502051,0.0864871953384373,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Kneisset Baabda,502037,0.045895258598823,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Beit Meri,506023,0.0833671399894302,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
QtalT Baabda,502050,0.0854455156307019,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Zandouqa,502057,0.0318615196356088,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Aayoun El-Matn,506012,0.0320850665443179,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Arsoun,502005,0.0554884541464803,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Beit Meri,506023,0.0833671399894302,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Masqa,506069,0.0710304782284715,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Aayoun El-Matn,506012,0.0320850665443179,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Baabdat,506017,0.0631288253634214,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Qannebet Salima,506088,0.0588682396809039,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Bsifrine,506031,0.0564566328118497,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,"05","05",Mount Lebanon,5,El Metn
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Falougha,502022,0.0935013667942283,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"04","05",Mount Lebanon,5,Zahle
Qornayel,502047,0.0766411880691524,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,"05","05",Mount Lebanon,5,Baabda
Falougha,502022,0.0935013667942283,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,Baabda
Bmaryam,502008,0.0885715268514846,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,Baabda
Bmaryam,502008,0.0885715268514846,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,Baabda
Btekhnay,502012,0.0688813236930534,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,Baabda
Qornayel,502047,0.0766411880691524,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,"05","05",Mount Lebanon,5,Baabda
Kfar Selouane,502034,0.0684949665706423,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"04","05",Mount Lebanon,5,Zahle
Deir El-harf,502019,0.0540649781153425,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Bzebdine,502014,0.0490350570108083,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,"05","05",Mount Lebanon,5,Baabda
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Salima Baabda,502054,0.0554291474714653,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Baabda
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"04","05",Mount Lebanon,5,Zahle
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"04","05",Mount Lebanon,5,Zahle
Qornayel,502047,0.0766411880691524,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,"05","05",Mount Lebanon,5,Baabda
Zaraaoun,506098,0.0563256599195158,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,"05","05",Mount Lebanon,5,El Metn
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Bourj Hammoud,506027,0.215259792767354,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Bourj Hammoud,506027,0.215259792767354,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Aamaret Chalhoub,506010,0.164370107032248,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Aamaret Chalhoub,506010,0.164370107032248,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
BaouchriyT,506018,0.134402058029864,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Bourj Hammoud,506027,0.215259792767354,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
DekouanT,506045,0.0651145430729124,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Naqqach,506083,0.0900429361833925,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Antelias,506016,0.0974102078527868,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Antelias,506016,0.0974102078527868,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
DbayT,506040,0.104257096451574,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Aamaret Chalhoub,506010,0.164370107032248,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Jall Ed-Did,506053,0.130661090152852,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Majzoub,506064,0.088378728630421,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
