lat,lon,status
33.1017,35.187771,potential
33.103798,35.219471,potential
33.108799,35.236771,potential
33.118698,35.142372,potential
33.462769,35.326077,potential
33.339142,35.285572,potential
33.547234,35.379894,potential
33.439926,35.306789,potential
33.2542,35.27457,potential
33.249401,35.304173,potential
33.565941,35.410831,potential
33.243,35.376972,potential
33.568207,35.379436,potential
33.567696,35.377666,potential
33.552917,35.395954,potential
33.451439,35.388199,potential
33.192699,35.32357,potential
33.283001,35.380672,potential
33.433002,35.279839,potential
33.105759,35.263351,potential
33.443871,35.38097,potential
33.197556,35.222916,potential
33.40934,35.286587,potential
33.550304,35.373933,potential
34.455997,36.073971,potential
34.484501,36.13007,potential
34.624767,36.391422,potential
34.482018,35.933136,potential
34.445499,35.857536,potential
34.445351,35.831886,potential
34.415268,35.852505,potential
34.439533,35.851353,potential
34.437199,35.840103,potential
34.439598,35.851238,potential
34.415234,35.85247,potential
34.434231,35.847771,potential
34.397999,36.054569,potential
34.419399,36.09877,potential
34.390198,36.06147,potential
34.490799,35.971371,potential
34.614632,36.390587,potential
34.623032,36.388271,potential
34.612965,36.43082,potential
34.499966,35.982502,potential
34.459499,36.123672,potential
34.300766,35.834953,potential
34.447067,35.851921,potential
34.4286,35.853569,potential
34.484657,35.951469,potential
34.449799,35.86657,potential
34.493099,36.04937,potential
34.625698,36.07777,potential
34.3941,35.91827,potential
34.446899,35.870205,potential
34.454067,35.872803,potential
34.594933,36.062939,potential
34.477615,36.089954,potential
34.407681,35.84816,potential
34.628517,36.383137,potential
34.512615,36.05632,potential
34.601383,36.284222,potential
34.571068,36.296288,potential
34.576099,36.019272,potential
34.452259,35.808411,potential
34.535835,36.204536,potential
34.560966,36.357254,potential
34.622433,36.387905,potential
34.628418,36.374138,potential
34.508812,35.970226,potential
34.506191,35.990585,potential
34.451797,35.86322,potential
34.451832,35.863239,potential
34.389801,36.056469,potential
34.436932,35.851078,potential
34.434902,35.852314,potential
34.406223,35.98827,potential
34.42131,35.991837,potential
34.454861,35.959854,potential
34.404964,36.031353,potential
34.635181,36.336605,potential
34.618134,36.242687,potential
34.614384,36.376244,potential
34.531231,36.005661,potential
34.66251,36.331661,potential
34.557556,35.996578,potential
34.438858,35.849808,potential
34.392239,35.898239,potential
34.541195,36.108494,potential
34.59692,36.286858,potential
34.623276,36.10199,potential
34.379929,35.979622,potential
34.556622,36.343094,potential
34.50975,35.968216,potential
34.439999,36.175476,potential
34.609974,36.205437,potential
34.458317,35.898018,potential
34.680756,36.344296,potential
34.353294,35.737976,potential
34.49094,36.012589,potential
34.633038,36.379868,potential
34.434669,36.065659,potential
34.42347,35.834469,potential
34.423481,35.834442,potential
34.43824,35.838829,potential
34.436558,35.83493,potential
34.436939,35.834682,potential
34.43449,35.838951,potential
34.439751,35.831821,potential
34.434059,35.839642,potential
34.43874,35.840252,potential
34.43375,35.839241,potential
34.43885,35.838642,potential
34.444439,35.844959,potential
34.443977,35.836449,potential
34.43996,35.841442,potential
34.43977,35.842949,potential
34.4431,35.842892,potential
34.438534,35.832771,potential
34.43375,35.845505,potential
34.441467,35.843941,potential
34.443016,35.843502,potential
34.44857,35.809872,potential
34.446148,35.818554,potential
34.449299,35.812355,potential
34.451183,35.813854,potential
34.447285,35.830963,potential
34.443531,35.817471,potential
34.447582,35.820419,potential
34.448299,35.816902,potential
34.453766,35.811054,potential
34.447315,35.820972,potential
34.44825,35.811787,potential
34.447048,35.83012,potential
34.447731,35.815189,potential
34.454365,35.810055,potential
34.430298,35.839336,potential
34.433548,35.843388,potential
34.430965,35.841454,potential
34.429699,35.841621,potential
34.426598,35.845535,potential
34.426701,35.842587,potential
34.433517,35.843388,potential
34.426018,35.841305,potential
34.429737,35.842876,potential
34.428482,35.842655,potential
34.426018,35.845871,potential
34.416149,35.84417,potential
34.426632,35.845688,potential
34.426666,35.845654,potential
34.422882,35.841522,potential
34.428749,35.841488,potential
34.426617,35.844654,potential
34.434532,35.846737,potential
34.440659,35.847572,potential
34.442982,35.854969,potential
34.439865,35.851803,potential
34.434967,35.847637,potential
34.434349,35.848721,potential
34.439301,35.854504,potential
34.434216,35.84782,potential
34.435818,35.849838,potential
34.431282,35.851669,potential
34.433617,35.847988,potential
34.431698,35.851521,potential
34.440968,35.851486,potential
34.431248,35.851639,potential
34.434784,35.859821,potential
34.491447,35.938488,potential
34.47583,35.938213,potential
34.471798,35.939838,potential
34.493599,35.938072,potential
34.46875,35.936554,potential
34.469299,35.937172,potential
34.453983,35.872822,potential
34.453899,35.868572,potential
34.45385,35.868355,potential
34.3895,35.788239,potential
34.388332,35.78722,potential
34.385399,35.782154,potential
34.3876,35.78772,potential
34.423466,35.834488,potential
34.462898,35.939369,potential
34.452698,35.962772,potential
34.451599,35.984272,potential
34.483898,35.951469,potential
34.4949,35.948669,potential
34.4618,35.89547,potential
34.456699,35.903072,potential
34.462399,35.895069,potential
34.41,36.017769,potential
34.406498,36.016369,potential
34.413799,36.013672,potential
34.406799,36.019672,potential
34.420399,36.02177,potential
34.4338,36.008472,potential
34.397301,36.01577,potential
34.419312,35.995525,potential
34.399139,35.986938,potential
34.412998,35.95657,potential
34.383736,36.027325,potential
34.433098,35.984673,potential
34.4044,36.061871,potential
34.399498,36.04887,potential
34.394455,36.054314,potential
34.392399,36.052269,potential
34.390301,36.04747,potential
34.387501,36.059372,potential
34.384499,36.05077,potential
34.405998,36.076069,potential
34.420498,36.085869,potential
