ADM3_Name,ACS_Code,T1 Displacement Ratio,T2 composite_score,T3 composite_score,T5 Demographic Shock Factor,T6 composite_score
Conflict,0,,0.4680736887245614,,0.0,0.3895859158469713
Conflict,0,,0.4680736887245614,,0.0,0.5363962486324285
Conflict,0,,0.4680736887245614,,0.0,0.5147108682336655
Conflict,0,,0.4680736887245614,,0.0,0.4965581578020771
Conflict,0,,0.4680736887245614,,0.0,0.47066424697018
Conflict,0,,0.4680736887245614,,0.0,0.4569027423616849
Conflict,0,,0.4680736887245614,,0.0,0.444181896013847
Conflict,0,,0.4680736887245614,,0.0,0.4425633415502337
Conflict,0,,0.4680736887245614,,0.0,0.4406805708709886
Conflict,0,,0.4680736887245614,,0.0,0.4402962691105424
Conflict,0,,0.4680736887245614,,0.0,0.433607184289649
Conflict,0,,0.4680736887245614,,0.0,0.4310729377057379
Conflict,0,,0.4680736887245614,,0.0,0.4296275503458767
Conflict,0,,0.4680736887245614,,0.0,0.4266475111942453
Conflict,0,,0.4680736887245614,,0.0,0.4172257915312043
Conflict,0,,0.4680736887245614,,0.0,0.4036917114065326
Conflict,0,,0.4680736887245614,,0.0,0.4033364084969634
Conflict,0,,0.4680736887245614,,0.0,0.3895859158469713
Conflict,0,,0.4680736887245614,,0.0,0.5363962486324285
Conflict,0,,0.4680736887245614,,0.0,0.5147108682336655
Conflict,0,,0.4680736887245614,,0.0,0.4965581578020771
Conflict,0,,0.4680736887245614,,0.0,0.47066424697018
Conflict,0,,0.4680736887245614,,0.0,0.4569027423616849
Conflict,0,,0.4680736887245614,,0.0,0.444181896013847
Conflict,0,,0.4680736887245614,,0.0,0.4425633415502337
Conflict,0,,0.4680736887245614,,0.0,0.4406805708709886
Conflict,0,,0.4680736887245614,,0.0,0.4402962691105424
Conflict,0,,0.4680736887245614,,0.0,0.433607184289649
Conflict,0,,0.4680736887245614,,0.0,0.4310729377057379
Conflict,0,,0.4680736887245614,,0.0,0.4296275503458767
Conflict,0,,0.4680736887245614,,0.0,0.4266475111942453
Conflict,0,,0.4680736887245614,,0.0,0.4172257915312043
Conflict,0,,0.4680736887245614,,0.0,0.4036917114065326
Conflict,0,,0.4680736887245614,,0.0,0.4033364084969634
